GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BC-rest-api-h2-demo,com.snilloc.exceptions,ServiceException,9,0,0,0,4,0,2,0,2,0
BC-rest-api-h2-demo,com.snilloc.exceptions,DaoDataException,4,9,0,0,2,4,1,2,1,2
BC-rest-api-h2-demo,com.snilloc.config,SwaggerConfig.MyVendorExtension,18,0,0,0,6,0,3,0,3,0
BC-rest-api-h2-demo,com.snilloc.config,AppConfiguration,52,3,0,0,21,1,6,1,6,1
BC-rest-api-h2-demo,com.snilloc.config,SwaggerConfig,88,0,0,0,18,0,4,0,4,0
BC-rest-api-h2-demo,com.snilloc.controller,RestRequestController,24,57,0,0,15,19,1,7,1,7
BC-rest-api-h2-demo,com.snilloc.services.impl,AdvertiserServiceImpl,3,0,0,0,1,0,1,0,1,0
BC-rest-api-h2-demo,com.snilloc.entity,Advertiser,0,27,0,0,0,10,0,5,0,5
BC-rest-api-h2-demo,com.snilloc,RestSpringDemo,21,0,0,0,5,0,2,0,2,0
BC-rest-api-h2-demo,com.snilloc.dao.impl,H2AdvertiserDaoImpl,72,336,1,5,18,81,1,11,0,9
